year,category,prizeShare,fullName,gender,born,bornCountry,bornCity,age_received,organizationName,organizationCountry,organizationCity,,
2010,economics,3,Christopher A. Pissarides,male,1948,Cyprus,Nicosia,62,London School of Economics and Political Science,United Kingdom,London,,
2010,economics,3,Dale T. Mortensen,male,1939,USA,Enterprise OR,71,Northwestern University,USA,Evanston IL,,
2010,economics,3,Peter A. Diamond,male,1940,USA,New York NY,70,Massachusetts Institute of Technology (MIT),USA,Cambridge MA,,
2010,peace,1,Xiaobo Liu,male,1955,China,Changchun,55,,,,,
2010,literature,1,Mario Vargas Llosa,male,1936,Peru,Arequipa,74,,,,,
2010,chemistry,3,Akira Suzuki,male,1930,Japan,Mukawa,80,Hokkaido University,Japan,Sapporo,,
2010,chemistry,3,Ei-ichi Negishi,male,1935,China,Changchun,75,Purdue University,USA,West Lafayette IN,,
2010,chemistry,3,Richard F. Heck,male,1931,USA,Springfield MA,79,University of Delaware,USA,,,
2010,physics,2,Konstantin Novoselov,male,1974,Russia,Nizhny Tagil,36,University of Manchester,United Kingdom,Manchester,,
2010,physics,2,Andre Geim,male,1958,Russia,Sochi,52,University of Manchester,United Kingdom,Manchester,,
2010,medicine,1,Robert G. Edwards,male,1925,United Kingdom,Batley,85,University of Cambridge,United Kingdom,Cambridge,,
2009,literature,1,Herta Muller,female,1953,Romania,Nitzkydorf Banat,56,,,,,
2009,economics,2,Oliver E. Williamson,male,1932,USA,Superior WI,77,University of California,USA,Berkeley CA,,
2009,economics,2,Elinor Ostrom,female,1933,USA,Los Angeles CA,76,Indiana University,USA,Bloomington IN,,
2009,peace,1,Barack Obama,male,1961,USA,Honolulu HI,48,,,,,
2009,chemistry,3,Ada E. Yonath,female,1939,Israel,Jerusalem,70,Weizmann Institute of Science,Israel,Rehovot,,
2009,chemistry,3,Thomas A. Steitz,male,1940,USA,Milwaukee WI,69,Yale University,USA,New Haven CT,,
2009,chemistry,3,Venkatraman Ramakrishnan,male,1952,India,Chidambaram Tamil Nadu,57,MRC Laboratory of Molecular Biology,United Kingdom,Cambridge,,
2009,physics,4,George E. Smith,male,1930,USA,White Plains NY,79,Bell Laboratories,USA,Murray Hill NJ,,
2009,physics,4,Willard S. Boyle,male,1924,Canada,Amherst NS,85,Bell Laboratories,USA,Murray Hill NJ,,
2009,physics,2,Charles K. Kao,male,1933,China,Shanghai,76,Standard Telecommunication Laboratories,United Kingdom,Harlow,,
2009,medicine,3,Jack W. Szostak,male,1952,United Kingdom,London,57,Harvard Medical School,USA,Boston MA,,
2009,medicine,3,Carol W. Greider,female,1961,USA,San Diego CA,48,Johns Hopkins University School of Medicine,USA,Baltimore MD,,
2009,medicine,3,Elizabeth H. Blackburn,female,1948,Australia,Hobart Tasmania,61,University of California,USA,San Francisco CA,,
